Number,Word,Rateing,Place
2,Five,6,Dharwad
1,Five,3,hubli
5,Five,6,Dharwad
1,Five,3,hubli
4,Three,5,Dharwad
1,Five,3,hubli
5,Five,6,
1,Five,3,hubli
6,Five,6,Dharwad
1,Five,,hubli
8,Five,6,Dharwad
1,Five,3,hubli
5,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4,Five,6,Dharwad
1,Five,3,hubli
4000,Five Thousand,Rate,Place
